".Little River County, Arkansas","11,821"
".Logan County, Arkansas","21,253"
".Lonoke County, Arkansas","75,225"
".Madison County, Arkansas","17,486"
".Marion County, Arkansas","17,254"
".Miller County, Arkansas","42,552"
".Mississippi County, Arkansas","38,896"
".Monroe County, Arkansas","6,564"
".Montgomery County, Arkansas","8,556"
".Nevada County, Arkansas","8,181"
".Newton County, Arkansas","7,078"
".Ouachita County, Arkansas","22,049"
".Perry County, Arkansas","10,063"
".Phillips County, Arkansas","15,304"
".Pike County, Arkansas","10,179"
".Poinsett County, Arkansas","22,495"
".Polk County, Arkansas","19,337"
".Pope County, Arkansas","64,065"
".Prairie County, Arkansas","8,069"
".Pulaski County, Arkansas","399,145"
".Randolph County, Arkansas","18,837"
".St. Francis County, Arkansas","22,451"
".Saline County, Arkansas","127,357"
".Scott County, Arkansas","9,805"
".Searcy County, Arkansas","7,918"
".Sebastian County, Arkansas","129,059"
".Sevier County, Arkansas","15,686"
".Sharp County, Arkansas","17,810"
".Stone County, Arkansas","12,575"
".Union County, Arkansas","37,752"
".Van Buren County, Arkansas","16,102"
".Washington County, Arkansas","256,054"
".White County, Arkansas","77,755"
".Woodruff County, Arkansas","6,049"
".Yell County, Arkansas","20,129"
".Alameda County, California","1,628,997"
".Alpine County, California","1,190"
".Amador County, California","41,412"
".Butte County, California","207,303"
".Calaveras County, California","46,563"
".Colusa County, California","21,914"
".Contra Costa County, California","1,156,966"
".Del Norte County, California","27,082"
".El Dorado County, California","192,646"
".Fresno County, California","1,015,190"
".Glenn County, California","28,339"
".Humboldt County, California","135,010"
".Imperial County, California","178,713"
".Inyo County, California","18,718"
".Kern County, California","916,108"
".Kings County, California","152,981"
".Lake County, California","68,191"
".Lassen County, California","29,904"
".Los Angeles County, California","9,721,138"
".Madera County, California","160,256"
".Marin County, California","256,018"
".Mariposa County, California","17,020"
".Mendocino County, California","89,783"
".Merced County, California","290,014"
".Modoc County, California","8,511"
".Mono County, California","12,978"
".Monterey County, California","432,858"
".Napa County, California","134,300"
".Nevada County, California","102,293"
".Orange County, California","3,151,184"
".Placer County, California","417,772"
".Plumas County, California","19,351"
".Riverside County, California","2,473,902"
".Sacramento County, California","1,584,169"
".San Benito County, California","67,579"
".San Bernardino County, California","2,193,656"
".San Diego County, California","3,276,208"
".San Francisco County, California","808,437"
".San Joaquin County, California","793,229"
".San Luis Obispo County, California","282,013"
".San Mateo County, California","729,181"
".Santa Barbara County, California","443,837"
".Santa Clara County, California","1,870,945"
".Santa Cruz County, California","264,370"
".Shasta County, California","180,930"
".Sierra County, California","3,217"
".Siskiyou County, California","43,660"
".Solano County, California","448,747"
".Sonoma County, California","482,650"
".Stanislaus County, California","551,275"
".Sutter County, California","98,503"
".Tehama County, California","65,245"
".Trinity County, California","15,781"
".Tulare County, California","477,544"
".Tuolumne County, California","54,531"
".Ventura County, California","832,605"
".Yolo County, California","222,115"
".Yuba County, California","84,310"
".Adams County, Colorado","527,575"
".Alamosa County, Colorado","16,592"
".Arapahoe County, Colorado","655,808"
".Archuleta County, Colorado","14,003"
".Baca County, Colorado","3,432"
".Bent County, Colorado","5,399"
".Boulder County, Colorado","327,468"
".Broomfield County, Colorado","76,121"
".Chaffee County, Colorado","20,223"
".Cheyenne County, Colorado","1,732"
".Clear Creek County, Colorado","9,355"
".Conejos County, Colorado","7,579"
".Costilla County, Colorado","3,603"
".Crowley County, Colorado","5,614"
".Custer County, Colorado","5,335"
".Delta County, Colorado","31,602"
".Denver County, Colorado","713,252"
".Dolores County, Colorado","2,455"
".Douglas County, Colorado","375,988"
".Eagle County, Colorado","55,285"
".Elbert County, Colorado","27,799"
".El Paso County, Colorado","740,567"
".Fremont County, Colorado","49,621"
